Year,Period,Plant,Material Number,Target Value in LC,Target Quantity
2022,7,,JACKET CONTI NAVY LIME REFLEC TAPE S40,0.0,0
2022,7,,JACKET CONTI NAVY LIME REFLEC TAPE S46,0.0,0
2022,7,,LOCKOUT PADLOCK STD BLUE,0.0,0
2022,7,,"LUBRICANT:CORROSION RETARDANT,LIQUID,500",0.0,0
2022,7,,NETTING BARRIER YELLOW/ORANGE 1MX50M,0.0,0
2022,7,,SISI JENNIFER LADIES SHOE KMS BLK 7,0.0,0
2022,7,,TAPE INSULATING BLUE,0.0,0
2022,7,,TAPE INSULATING RED,0.0,0
2022,7,,TROUSERS CONTI NAVY LIME REFLEC TAPE S34,0.0,0
2022,7,,TROUSERS CONTI NAVY LIME REFLEC TAPE S40,0.0,0
2022,7,,Caramel 303 (35000 EBC),0.0,0
2022,7,,Caramel 303 (35000 EBC),0.0,0
2022,7,,Caustic - Effluent Plant,0.0,0
2022,7,,Dextrose Bulk,0.0,0
2022,7,,Dextrose Bulk,0.0,0
2022,7,,Malt MFM (Batch Managed),0.0,0
2022,7,,Maltose Bulk,0.0,0
2022,7,,Maltose Bulk,0.0,0
2022,7,AB,Bottle: 660RB Green Lite,328.75,22
2022,7,AB,Bottle: 660RB Green Lite,410380.7,25984
2022,7,AB,Bottle: 750RB Amber Calabash,1056.36,76
2022,7,AB,Bottle: 750RB Amber Calabash,1319351.9,92885
2022,7,AB,Crate: Brown Quart,1344486.05,92885
2022,7,AB,Crate: Brown Quart,8711.27,603
2022,7,AB,Crate: Red Quart,376096.76,25984
2022,7,AB,Crate: Red Quart,2144.57,150
2022,7,AB,Bottle: 1000RB Amber,396.8,29
2022,7,AB,Bottle: 1000RB Amber,497431.05,35021
2022,7,AB,Bottle: 750RB Amber Calabash,0.0,0
2022,7,AB,Bottle: 750RB Amber Calabash,0.0,0
2022,7,AB,Crate: 1L Brown,506907.3,35021
2022,7,AB,Crate: 1L Brown,4379.46,304
2022,7,AB,Crate: Brown Quart,0.0,0
2022,7,AB,Crate: Brown Quart,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,148923.68,43129
2022,7,,,90075.67,26317
2022,7,,,261595.95,110380
2022,7,,,21248.47,16668
2022,7,,,185657.03,43860
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,COAL Grade A,0.0,0
2022,7,,Solar Electricity,0.0,0
2022,7,,Utilities : Effluent Treatment,0.0,0
2022,7,,Utilities : Electricity KWH,0.0,0
2022,7,,Utilities : Water (Generic),0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,Dextrose Bulk,0.0,0
2022,7,,Malt MFM (Batch Managed),0.0,0
2022,7,,Maltose Bulk,0.0,0
2022,7,AE,,0.0,0
2022,7,AE,Bottle: 660RB Flint Diva,747.55,49
2022,7,AE,Bottle: 660RB Flint Diva,650603.29,41206
2022,7,AE,Bottle: 330RB Amber Uno,0.0,0
2022,7,AE,Bottle: 330RB Amber Uno,0.0,0
2022,7,AE,Bottle: 660RB Green Fish,386.02,26
2022,7,AE,Bottle: 660RB Green Fish,335677.26,21254
2022,7,AE,Bottle: 660RB Green Lite,238.45,17
2022,7,AE,Bottle: 660RB Green Lite,207358.51,13130
2022,7,AE,Bottle: 750RB Amber Calabash,409.59,30
2022,7,AE,Bottle: 750RB Amber Calabash,356368.0,25090
2022,7,AE,Crate: Blue Quart,596437.65,41206
2022,7,AE,Crate: Blue Quart,358.05,26
2022,7,AE,Crate: Brown Pint,0.0,0
2022,7,AE,Crate: Brown Pint,0.0,0
2022,7,AE,Crate: Brown Quart,363156.95,25090
2022,7,AE,Crate: Brown Quart,363.01,27
2022,7,AE,Crate: Navy Quart,307634.19,21254
2022,7,AE,Crate: Navy Quart,184.67,14
2022,7,AE,Crate: Red Quart,190035.41,13130
2022,7,AE,Crate: Red Quart,114.08,9
2022,7,AE,,0.0,0
2022,7,AE,Bottle: 750RB Amber Calabash,1566.2,112
2022,7,AE,Bottle: 750RB Amber Calabash,1362679.75,95935
2022,7,AE,Crate: Brown Quart,1388639.31,95935
2022,7,AE,Crate: Brown Quart,1388.05,97
2022,7,AE,Keg: 30L Empty,0.0,0
2022,7,AE,Keg: 30L Empty,0.0,0
2022,7,AE,Keg: 50L Empty,0.0,0
2022,7,AE,Keg: 50L Empty,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,Caustic - Effluent Plant,0.0,0
2022,7,,COAL Grade A,0.0,0
2022,7,,Solar Electricity,0.0,0
2022,7,,Utilities : Effluent Treatment,0.0,0
2022,7,,Utilities : Electricity KWH,0.0,0
2022,7,,Utilities : Water (Generic),0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,192795.64,62109
2022,7,,,59418.93,10224
2022,7,,,462441.6,172229
2022,7,,,12916.72,9687
2022,7,,,18939.32,2327
2022,7,,,302480.64,69536
2022,7,AE,"BOOK:PASS OUT,NCR",0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
